Drug,Brand name,Species,Use,Notes,Source URL
Allergy Hot Spot Foam For Dogs & Cats,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/allergy-hot-spot-foam-for-dogs-cats.html
Allergy Skin & Coat Soft Chews For Dogs & Cats,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Due to the tasty nature of our products, do not leave package unattended around pets.",https://www.drugs.com/vet/allergy-skin-coat-soft-chews-for-dogs-cats.html
Allermyl (piroctone olamine) Shampoo,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/allermyl-piroctone-olamine-shampoo.html
Allermyl (piroctone olamine) Shampoo (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/allermyl-piroctone-olamine-shampoo-can.html
Allerpet Dog Dander Remover,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/allerpet-dog-dander-remover.html
Allerpet Dog Dander Remover (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/allerpet-dog-dander-remover-can.html
Allerpet Pet Dander Remover,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/allerpet-pet-dander-remover.html
Allerpet Pet Dander Remover (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/allerpet-pet-dander-remover-can.html
Alloxate (meloxicam) 5 mg/mL Solution for Injection for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Dogs: A field study involving 224 dogs was conducted. Based on the results of this study, GI abnormalities (vomiting, soft stools, diarrhea, and inappetance) were the most common adverse reactions associated with the administration of meloxicam. The following table lists adverse reactions and the numbers of dogs that experienced them during the study. Dogs may have experienced more than one episode of the adverse reaction during the study.",https://www.drugs.com/vet/alloxate-meloxicam-5-mg-ml-solution-for-injection-for-dogs.html
Aloe & Oatmeal Cleansing Wipes,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aloe-oatmeal-cleansing-wipes.html
Aloe & Oatmeal Conditioner,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aloe-oatmeal-conditioner.html
Aloe Oatmeal Shampoo,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",AVAILABLE THROUGH LICENSED VETERINARIANS ONLY,https://www.drugs.com/vet/aloe-oatmeal-shampoo.html
Aloe & Oatmeal Shampoo and Conditioner,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aloe-oatmeal-shampoo-and-conditioner.html
Aloe & Oatmeal Skin & Coat Conditioner,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aloe-oatmeal-skin-coat-conditioner.html
Aloe & Oatmeal Soothing Shampoo,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aloe-oatmeal-soothing-shampoo.html
Aloe Advantage Citronella Shampoo,,"Dog, Cat, Horse, Cattle, Sheep, Goat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aloe-advantage-citronella-shampoo.html
Aloe Advantage Concentrated Shampoo,,"Dog, Cat, Horse, Cattle, Sheep, Goat, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aloe-advantage-concentrated-shampoo.html
Aloe Heal,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aloe-heal.html
Aloe vera otic cleanser,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",For topical use only. Avoid contact with eyes.,https://www.drugs.com/vet/aloe-vera-otic-cleanser.html
Aloedine Medicated Shampoo,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aloedine-medicated-shampoo.html
Alu-Mend Spray,,"Dog, Cat, Horse, Cattle, Sheep, Goat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/alu-mend-spray.html
Aluminum Bandage Spray,,"Dog, Cat, Horse, Cattle, Sheep, Goat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aluminum-bandage-spray.html
AluShield,,"Dog, Cat, Horse, Cattle, Sheep, Goat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/alushield.html
AluSpray,,"Dog, Cat, Horse, Cattle, Sheep, Goat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Avoid spraying in animal’s eyes.,https://www.drugs.com/vet/aluspray.html
Aluspray (Canada),,"Dog, Cat, Horse, Cattle, Sheep, Goat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",This product is not for use on open wounds. Avoid spraying in the animal’s eyes.,https://www.drugs.com/vet/aluspray-can.html
Alvedia Canine BT (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/alvedia-canine-bt-can.html
Alvedia Canine Easy Quick Test DAT (Canada),,"Dog, Cat",used to indicate the presence of auto-immune antibodies. The canine Direct Antiglobulin Test (DAT) aims to detect the presence of immunoglobulins and/or C3 components on the surface of patient’s red b,,https://www.drugs.com/vet/alvedia-canine-easy-quick-test-dat-can.html
Alvedia Canine Easy Quick Test DAT (Coombs),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/alvedia-canine-easy-quick-test-dat-coombs.html
Alvedia Canine LabTest Blood Typing (BT) DEA 1,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/alvedia-canine-labtest-blood-typing-bt-dea-1.html
Alvedia Canine LabTest DAT (Coombs),,"Dog, Cat",USED TO INDICATE THE PRESENCE OF AUTO-IMMUNE ANTIBODIES. LAB TEST DAT MATERIAL 1 BOX OF LABTEST DAT CONTAINS: - 1 TUBE WITH 10 MEMBRANES (1 MEMBRANE = 1 DAT) - 1 DAT BUFFER - 10 RESULTS FORMS ADDITION,,https://www.drugs.com/vet/alvedia-canine-labtest-dat-coombs.html
Veterinary Products,,"Dog, Cat, Horse, Cattle, Rabbit",,,https://www.drugs.com/vet/
A O E All Purpose Deodorizing Pet Wipes,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/a-o-e-all-purpose-deodorizing-pet-wipes.html
A O E All Purpose Deodorizing Pet Wipes (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/a-o-e-all-purpose-deodorizing-pet-wipes-can.html
"A O E, Animal Odor Eliminator",,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/a-o-e-animal-odor-eliminator.html
"A O E, Animal Odor Eliminator (Canada)",,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/a-o-e-animal-odor-eliminator-can.html
Absorbine Flys-X Livestock Ready to Use Insecticide,,"Dog, Cat, Horse, Cattle, Sheep, Goat, Pig, Poultry, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/absorbine-flys-x-livestock-ready-to-use-insecticide.html
Absorbine ShowSheen Hair Polish & Detangler,,"Dog, Cat, Horse, Cattle, Sheep, Goat, Pig","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/absorbine-showsheen-hair-polish-detangler.html
Absorbine Silver Honey Ointment Skin Care (Canada),,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Active Ingredients per application:,https://www.drugs.com/vet/absorbine-silver-honey-ointment-skin-care-can.html
Absorbine Silver Honey Spray Skin Care (Canada),,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Active Ingredients per application:,https://www.drugs.com/vet/absorbine-silver-honey-spray-skin-care-can.html
Absorbine UltraShield EX Insecticide & Repellent,,"Dog, Cat, Horse, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/absorbine-ultrashield-ex-insecticide-repellent.html
Acepromazine Injection,,"Dog, Cat, Horse","used to control nervousness, excessive vocalization, neurotic and excitable behavior, vomiting associated with motion sickness, coughing and itching caused by dermatitis. In horses, Bauman 6 had good ","To report suspected adverse reactions, to obtain a Material Safety Data Sheet or for technical assistance, call 1-866-638-2226.",https://www.drugs.com/vet/acepromazine-injection.html
Acepromazine maleate Injection,,"Dog, Cat, Horse","used to control nervousness, excessive vocalization, neurotic and excitable behavior, vomiting associated with motion sickness, coughing and itching caused by dermatitis. In horses, Bauman 6 had good ","serious adverse reactions include behavioral disorders in dogs such as aggression, biting/chewing, and nervousness.",https://www.drugs.com/vet/acepromazine-maleate-injection.html
Acepromazine maleate Tablets,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","To report suspected adverse reactions, to obtain a Safety Data Sheet or for technical assistance, call1-855-724-3461.",https://www.drugs.com/vet/acepromazine-maleate-tablets.html
Acepromazine Tablets,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","To report suspected adverse reactions, to obtain a Material Safety Data Sheet or for technical assistance, call 1-866-638-2226.",https://www.drugs.com/vet/acepromazine-tablets.html
Acetylator,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Not for human consumption. Keep out of the reach of children and animals. In case of accidental overdose, contact a health professional immediately.",https://www.drugs.com/vet/acetylator.html
Acevet 25 Injectable (Canada),,"Dog, Cat, Horse, Cattle, Sheep, Goat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",PRESENTATIONS: 100 mL bottles.,https://www.drugs.com/vet/acevet-25-injectable-can.html
Acid-A-Foam EVO,,"Dog, Cat, Horse, Cattle, Poultry","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/acid-a-foam-evo.html
Acti-Flex K9,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/acti-flex-k9.html
Acti-Flex K9 Platinum Hip and Joint Chews,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/acti-flex-k9-platinum-hip-and-joint-chews.html
Actistatin Canine Large Dog Soft Chew (Canada),,"Dog, Cat, Poultry","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Store in a dry area. Keep lid closed when not in use.,https://www.drugs.com/vet/actistatin-canine-large-dog-soft-chew-can.html
Actistatin Canine Large Dog Soft Chews,,"Dog, Cat, Cattle, Poultry","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Store in a dry area. Keep lid closed when not in use.,https://www.drugs.com/vet/actistatin-canine-large-dog-soft-chews.html
Actistatin Canine Small Bites Small Dog Soft Chews,,"Dog, Cat, Cattle, Poultry","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Store in a dry area.,https://www.drugs.com/vet/actistatin-canine-small-bites-small-dog-soft-chews.html
Activated Charcoal Gel (Dogs & Cats),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/activated-charcoal-gel-dogs-cats.html
Adams Ear Mite Treatment,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-ear-mite-treatment.html
Adams Flea & Tick Cleansing Shampoo,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-flea-tick-cleansing-shampoo.html
Adams Flea & Tick Collar for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-flea-tick-collar-for-dogs.html
Adams Flea & Tick Control Collar for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-flea-tick-control-collar-for-dogs.html
Adams Flea & Tick Dip for Dogs & Cats,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-flea-tick-dip-for-dogs-cats.html
Adams Flea & Tick Home & Carpet Spray,,"Dog, Cat, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-flea-tick-home-carpet-spray.html
Adams Flea & Tick Home Spray,,"Dog, Cat, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-flea-tick-home-spray.html
Adams Flea & Tick Indoor Fogger,,"Dog, Cat, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-flea-tick-indoor-fogger.html
Adams Flea & Tick Spot On for Extra Large Dogs/Puppies (81 lbs and Over) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-flea-tick-spot-on-for-extra-large-dogs-puppies-81-lbs-and-over-refill-pack.html
Adams Flea & Tick Spot On for Large Dogs/Puppies (56-80 lbs) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-flea-tick-spot-on-for-large-dogs-puppies-56-80-lbs-refill-pack.html
Adams Flea & Tick Spot On for Medium Dogs/Puppies (32-55 lbs),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-flea-tick-spot-on-for-medium-dogs-puppies-32-55-lbs.html
Adams Flea & Tick Spot On for Medium Dogs/Puppies (32-55 lbs) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-flea-tick-spot-on-for-medium-dogs-puppies-32-55-lbs-refill-pack.html
Adams Flea & Tick Spot On for Small Dogs/Puppies (13-31 lbs),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-flea-tick-spot-on-for-small-dogs-puppies-13-31-lbs.html
Adams Flea & Tick Spot On for Small Dogs/Puppies (13-31 lbs) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-flea-tick-spot-on-for-small-dogs-puppies-13-31-lbs-refill-pack.html
Adams Flea & Tick Spot On for Toy Dogs/Puppies (6-12 lbs) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-flea-tick-spot-on-for-toy-dogs-puppies-6-12-lbs-refill-pack.html
Adams Flea & Tick Spray,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-flea-tick-spray.html
Adams Medicated Hot Spot & Itch Relief Spray for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-medicated-hot-spot-itch-relief-spray-for-dogs.html
Adams Medicated Shampoo & Conditioner for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-medicated-shampoo-conditioner-for-dogs.html
Adams Plus Flea & Tick Carpet Spray,,"Dog, Cat, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-plus-flea-tick-carpet-spray.html
Adams Plus Flea & Tick Collar for Dogs Large,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-plus-flea-tick-collar-for-dogs-large.html
Adams Plus Flea & Tick Collar for Dogs Small,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-plus-flea-tick-collar-for-dogs-small.html
Adams Plus Flea & Tick Indoor Fogger,,"Dog, Cat, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-plus-flea-tick-indoor-fogger.html
Adams Plus Flea & Tick Shampoo with Precor,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-plus-flea-tick-shampoo-with-precor.html
Adams Plus Flea & Tick Spot On For Dogs (15-30 lbs) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-plus-flea-tick-spot-on-for-dogs-15-30-lbs-refill-pack.html
Adams Plus Flea & Tick Spot On For Dogs (15-30 lbs) with Reusable Applicator,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-plus-flea-tick-spot-on-for-dogs-15-30-lbs-with-reusable-applicator.html
Adams Plus Flea & Tick Spot On For Dogs (31-60 lbs) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-plus-flea-tick-spot-on-for-dogs-31-60-lbs-refill-pack.html
Adams Plus Flea & Tick Spot On For Dogs (31-60 lbs) with Reusable Applicator,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-plus-flea-tick-spot-on-for-dogs-31-60-lbs-with-reusable-applicator.html
Adams Plus Flea & Tick Spot On For Dogs (5-14 lbs) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-plus-flea-tick-spot-on-for-dogs-5-14-lbs-refill-pack.html
